Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N),Placement(Y/N)?
urmi_bera90@gmail.com,Urmi Bera,Female,State Board,96.1,CBSE,87.9,Mechanical Engineering,8.34,No,Yes,No,Yes,2,Yes,Placed
dheeraj_kumar80@gmail.com,Dheeraj Kumar,Male,ICSE,97.5,ISE,62.3,Computer Science in Data Science,8.94,Yes,Yes,No,Yes,4,Yes,Not Placed
riya_sinha96@gmail.com,Riya Sinha,Female,State Board,89.9,Other state Board,73.1,Electronics and Communication Engineering,7.24,No,No,No,Yes,3,No,Not Placed
samik_dutta27@gmail.com,Samik Dutta,Male,CBSE,90.2,ISE,76,Information Technology,9.11,Yes,Yes,No,Yes,2,Yes,Placed
radha_kumari58@gmail.com,Radha Kumari,Female,CBSE,85.4,Other state Board,91.7,Electronics and Communication Engineering,7.87,Yes,Yes,No,Yes,5,Yes,Not Placed
ritika_choudhury18@gmail.com,Ritika Choudhury,Female,ICSE,92.1,ISE,83,Information Technology,7.49,No,No,No,Yes,2,Yes,Placed
ipshita_bhattacharya60@gmail.com,Ipshita Bhattacharya,Female,CBSE,74.7,CBSE,93.1,Computer Science and Engineering,8.11,Yes,Yes,No,Yes,3,No,Not Placed
sunilgarai210@gmail.com,Sunil Garai,Male,WBBSE,47,WBCHSE,88,Electrical Engineering,7.9,Yes,Yes,Yes,Yes,3,Yes,Placed
pooja_chauhan10@gmail.com,Pooja Chauhan,Female,CBSE,93.4,Other state Board,88,Civil Engineering,8.49,No,No,No,Yes,2,Yes,Placed
anisha_ghosh17@gmail.com,Anisha Ghosh,Female,State Board,97.5,WBCHSE,60.3,Computer Science and Design,9.29,Yes,No,No,Yes,1,Yes,Placed
milankamilya5501@gmail.com,Milan Kamilya,Male,WBBSE,91,WBCHSE,87,Computer Science and Design,8.2,Yes,Yes,Yes,Yes,3,No,Placed
mita_dutta42@gmail.com,Mita Dutta,Female,ICSE,74.3,Other state Board,93.1,Mechanical Engineering,8.36,No,No,No,Yes,5,Yes,Placed
nishant_mandal90@gmail.com,Nishant Mandal,Male,ICSE,99.8,ISE,80.8,Computer Science in Data Science,8.26,Yes,No,No,Yes,3,Yes,Placed
debika_mazumdar69@gmail.com,Debika Mazumdar,Female,CBSE,70.7,Other state Board,62.2,Mechanical Engineering,8.2,No,No,No,Yes,5,Yes,Placed
neeraj_verma56@gmail.com,Neeraj Verma,Male,State Board,95.4,CBSE,79,Chemical Engineering,7.96,Yes,Yes,No,Yes,5,Yes,Placed
payal_sengupta31@gmail.com,Payal Sengupta,Female,WBBSE,88.4,Other state Board,83.4,Computer Science and Design,7.4,No,Yes,No,Yes,1,Yes,Not Placed
arnav_sen56@gmail.com,Arnav Sen,Male,WBBSE,89.5,ISE,79.9,Computer Science and Engineering,8.41,Yes,No,Yes,No,5,No,Not Placed
nikhil_rana90@gmail.com,Nikhil Rana,Male,State Board,72.2,Other state Board,80.5,Chemical Engineering,9.28,No,No,No,No,2,Yes,Not Placed
anupam_mitra99@gmail.com,Anupam Mitra,Male,WBBSE,87.5,WBCHSE,72.9,Computer Science and Engineering,8.18,Yes,No,No,No,3,No,Not Placed
prakash_pandey63@gmail.com,Prakash Pandey,Male,State Board,75.2,ISE,85.5,Computer Science in Data Science,8.18,Yes,Yes,No,No,1,No,Not Placed
abhirup_mazumdar30@gmail.com,Abhirup Mazumdar,Male,ICSE,87.4,WBCHSE,91.4,Electronics and Communication Engineering,8.41,Yes,No,Yes,Yes,1,Yes,Not Placed
bikram_pal7@gmail.com,Bikram Pal,Male,ICSE,98.3,Other state Board,94.7,Information Technology,8.52,Yes,No,No,Yes,1,Yes,Placed
rajiv_mandal78@gmail.com,Rajiv Mandal,Male,ICSE,85.2,Other state Board,80.7,Information Technology,7.69,No,No,No,Yes,1,Yes,Placed
amit_sinha11@gmail.com,Amit Sinha,Male,State Board,86.6,Other state Board,81.3,Electrical and Electronics Engineering,7.15,No,Yes,Yes,No,5,No,Not Placed
sunil_singh27@gmail.com,Sunil Singh,Male,ICSE,94.1,ISE,62.8,Mechanical Engineering,7.55,No,Yes,No,Yes,5,Yes,Placed
ranjangiri8500@gmail.com,Ranjan Giri,Male,WBBSE,79.4,WBCHSE,79.4,Information Technology,9.34,No,Yes,No,Yes,2,No,Not Placed
ujjal_sengupta98@gmail.com,Ujjal Sengupta,Male,WBBSE,95.1,Other state Board,81.7,Computer Science in Data Science,8.08,Yes,No,No,Yes,1,Yes,Not Placed
sohini_mishra17@gmail.com,Sohini Mishra,Female,ICSE,72,Other state Board,90.5,Electronics and Communication Engineering,9.21,No,Yes,No,Yes,1,Yes,Placed
jaya_mukherjee94@gmail.com,Jaya Mukherjee,Female,CBSE,84.5,WBCHSE,87.4,Chemical Engineering,7.67,No,No,No,Yes,5,Yes,Placed
suvankar_dey96@gmail.com,Suvankar Dey,Male,WBBSE,75.7,Other state Board,80.6,Electronics and Communication Engineering,7.35,Yes,No,No,Yes,4,Yes,Placed
indrajit_chakraborty6@gmail.com,Indrajit Chakraborty,Male,CBSE,91.7,WBCHSE,91.9,Chemical Engineering,7.14,Yes,No,No,No,2,Yes,Not Placed
sneha_kumari79@gmail.com,Sneha Kumari,Female,ICSE,82.8,Other state Board,89.8,Electrical Engineering,8.45,Yes,Yes,No,Yes,3,Yes,Not Placed
ananya_choudhary92@gmail.com,Ananya Choudhary,Female,State Board,80.2,CBSE,74.7,Computer Science and Engineering,8.82,Yes,Yes,Yes,No,2,Yes,Not Placed
debika_chauhan67@gmail.com,Debika Chauhan,Female,ICSE,92.7,CBSE,82.1,Electrical and Electronics Engineering,8.88,Yes,Yes,Yes,No,1,Yes,Not Placed
mita_bera69@gmail.com,Mita Bera,Female,CBSE,82.9,Other state Board,86.1,Mechanical Engineering,9.23,No,Yes,No,No,4,Yes,Not Placed
sunil_sharma33@gmail.com,Sunil Sharma,Male,State Board,85.7,Other state Board,63.6,Electrical Engineering,9.02,Yes,No,No,Yes,4,Yes,Placed
koushiki_das41@gmail.com,Koushiki Das,Female,CBSE,87.5,Other state Board,87.3,Electronics and Communication Engineering,7.23,Yes,Yes,No,No,3,No,Not Placed
nikhil_chauhan98@gmail.com,Nikhil Chauhan,Male,ICSE,95.6,CBSE,94,Electrical and Electronics Engineering,8.21,No,Yes,No,No,5,No,Not Placed
amit_das69@gmail.com,Amit Das,Male,ICSE,77.6,ISE,84.6,Mechanical Engineering,9.12,No,Yes,Yes,No,2,No,Not Placed
kavya_chakraborty27@gmail.com,Kavya Chakraborty,Female,CBSE,79.7,Other state Board,91.5,Computer Science and Design,9.21,Yes,Yes,No,No,2,Yes,Not Placed
sneha_pandey6@gmail.com,Sneha Pandey,Female,WBBSE,82,Other state Board,75.9,Electrical and Electronics Engineering,7.6,No,Yes,No,Yes,1,Yes,Placed
anisha_goswami29@gmail.com,Anisha Goswami,Female,WBBSE,70.7,ISE,77.4,Civil Engineering,8.22,No,No,No,No,2,Yes,Not Placed
smita_bhat82@gmail.com,Smita Bhat,Female,CBSE,77.3,CBSE,91.4,Computer Science in AIML,8.92,Yes,No,No,Yes,3,Yes,Placed
ayesha_kumari81@gmail.com,Ayesha Kumari,Female,ICSE,81,CBSE,79.8,Electrical Engineering,8.1,No,Yes,No,Yes,2,No,Not Placed
subhash_paul83@gmail.com,Subhash Paul,Male,CBSE,82.9,ISE,71.8,Mechanical Engineering,7.46,No,No,Yes,Yes,4,No,Not Placed
arpita_choudhary4@gmail.com,Arpita Choudhary,Female,CBSE,76.2,Other state Board,74.8,Electronics and Communication Engineering,9.04,Yes,No,No,No,4,No,Not Placed
manish_sah34@gmail.com,Manish Sah,Male,ICSE,83.6,Other state Board,70.9,Computer Science and Engineering,8.95,No,No,No,Yes,2,Yes,Placed
payal_bardhan57@gmail.com,Payal Bardhan,Female,ICSE,78.7,Other state Board,62.5,Mechanical Engineering,9.16,Yes,Yes,Yes,No,3,No,Not Placed
debanshu_pal54@gmail.com,Debanshu Pal,Male,State Board,78.6,ISE,86.9,Electrical Engineering,8.23,No,Yes,Yes,Yes,1,Yes,Not Placed
madhuri_jha17@gmail.com,Madhuri Jha,Female,CBSE,88.1,ISE,82.6,Chemical Engineering,7.1,Yes,Yes,No,Yes,4,Yes,Placed
jyoti_modi10@gmail.com,Jyoti Modi,Female,State Board,85.5,Other state Board,82.4,Computer Science and Engineering,7.49,No,No,No,Yes,1,Yes,Placed
chatterjeeraunak2k@gmail.com,Raunak Chatterjee,Male,ICSE,91.8,CISCE,88.5,Computer Science and Engineering,9.48,No,No,Yes,Yes,3,Yes,Placed
ishika_paul88@gmail.com,Ishika Paul,Female,WBBSE,73.2,WBCHSE,65,Computer Science and Engineering,7.79,No,No,No,Yes,4,Yes,Placed
ayesha_mukherjee97@gmail.com,Ayesha Mukherjee,Female,CBSE,99.9,ISE,86.4,Electrical Engineering,9.16,Yes,No,No,Yes,3,Yes,Placed
payal_paul96@gmail.com,Payal Paul,Female,CBSE,77.5,WBCHSE,69,Civil Engineering,8.3,No,No,No,Yes,4,No,Not Placed
ipshita_mukherjee52@gmail.com,Ipshita Mukherjee,Female,WBBSE,83.7,WBCHSE,91,Electronics and Communication Engineering,7.11,No,Yes,No,No,4,Yes,Not Placed
ishani_srivastava88@gmail.com,Ishani Srivastava,Female,ICSE,91.7,CBSE,68.9,Computer Science and Design,8.34,No,Yes,No,No,2,No,Not Placed
debjit_sen92@gmail.com,Debjit Sen,Male,WBBSE,72.4,ISE,80.6,Electronics and Communication Engineering,9.16,Yes,No,No,Yes,2,Yes,Placed
anjali_bhattacharya70@gmail.com,Anjali Bhattacharya,Female,WBBSE,70.8,Other state Board,65.1,Electrical and Electronics Engineering,8.64,No,Yes,No,Yes,3,No,Not Placed
sunil_yadav15@gmail.com,Sunil Yadav,Male,ICSE,82.9,ISE,87.3,Electrical and Electronics Engineering,8.49,No,Yes,No,Yes,2,Yes,Placed
jaya_pandey38@gmail.com,Jaya Pandey,Female,CBSE,84.8,Other state Board,92.8,Electrical Engineering,7.01,No,No,No,Yes,2,Yes,Placed
bikram_chakraborty20@gmail.com,Bikram Chakraborty,Male,ICSE,99.8,CBSE,63.7,Civil Engineering,9.35,No,Yes,No,No,3,No,Not Placed
ayesha_dey24@gmail.com,Ayesha Dey,Female,State Board,70.6,Other state Board,70.7,Electronics and Communication Engineering,8.43,Yes,Yes,No,Yes,1,Yes,Placed
anand_kumar5@gmail.com,Anand Kumar,Male,State Board,91.2,Other state Board,73.3,Electrical and Electronics Engineering,8.49,Yes,No,No,Yes,5,Yes,Placed
kaushik_kar45@gmail.com,Kaushik Kar,Male,State Board,80.5,CBSE,68.6,Electronics and Communication Engineering,7.28,No,No,Yes,Yes,2,No,Not Placed
piyali_goswami71@gmail.com,Piyali Goswami,Female,CBSE,70.9,ISE,94.8,Electronics and Communication Engineering,8.8,Yes,No,No,Yes,1,Yes,Not Placed
mita_mahato27@gmail.com,Mita Mahato,Female,WBBSE,97,WBCHSE,88.6,Chemical Engineering,8.24,No,Yes,No,Yes,4,Yes,Placed
sneha_rao2@gmail.com,Sneha Rao,Female,CBSE,88.3,Other state Board,78.4,Electronics and Communication Engineering,7.61,Yes,Yes,No,No,5,No,Not Placed
rohan_mitra72@gmail.com,Rohan Mitra,Male,WBBSE,88.7,WBCHSE,83.6,Computer Science and Engineering,7.27,No,Yes,No,Yes,5,Yes,Placed
anisha_kar28@gmail.com,Anisha Kar,Female,CBSE,85.3,CBSE,76.4,Electronics and Communication Engineering,9.25,No,No,No,Yes,4,No,Not Placed
deysumant150@gmail.com,SUMANT KUMAR DEY,Male,State Board,59,Other state Board,55,Electrical Engineering,7.93,No,Yes,Yes,Yes,3,No,Placed
madhurima_mukherjee53@gmail.com,Madhurima Mukherjee,Female,State Board,87.1,CBSE,87,Computer Science and Design,8.68,Yes,No,No,Yes,5,Yes,Placed
nikhil_pathak24@gmail.com,Nikhil Pathak,Male,State Board,96.5,Other state Board,80.9,Information Technology,8.27,Yes,No,No,No,1,Yes,Not Placed
debanshu_ghosh46@gmail.com,Debanshu Ghosh,Male,State Board,91,Other state Board,86.1,Electrical Engineering,8.82,No,Yes,No,Yes,2,Yes,Placed
indira_roy69@gmail.com,Indira Roy,Female,CBSE,81.8,ISE,63.5,Electronics and Communication Engineering,7.04,Yes,Yes,Yes,No,4,Yes,Not Placed
unk5659@gmail.com,Utkarsh Nandkumar koshti,Male,State Board,73,Other state Board,84,Computer Science and Engineering,7.12,No,Yes,No,No,3,Yes,Not Placed
shreya_rajput89@gmail.com,Shreya Rajput,Female,ICSE,76.4,Other state Board,66.2,Computer Science and Engineering,8.66,Yes,Yes,No,No,2,Yes,Not Placed
trisha_dutta92@gmail.com,Trisha Dutta,Female,ICSE,83.9,WBCHSE,93.5,Chemical Engineering,8.13,No,Yes,Yes,Yes,5,No,Not Placed
nayana_rao35@gmail.com,Nayana Rao,Female,State Board,90.5,Other state Board,83.1,Computer Science in Data Science,8.27,Yes,No,Yes,No,3,Yes,Not Placed
debika_rao29@gmail.com,Debika Rao,Female,ICSE,94,CBSE,74.7,Civil Engineering,8.71,No,No,Yes,No,4,No,Not Placed
nikhil_jha10@gmail.com,Nikhil Jha,Male,CBSE,85.9,ISE,76.9,Electronics and Communication Engineering,8.85,Yes,Yes,No,Yes,5,Yes,Placed
naira_singhania72@gmail.com,Naira Singhania,Female,WBBSE,98.5,WBCHSE,69.8,Computer Science and Engineering,8.47,No,No,No,Yes,2,Yes,Not Placed
pawan_dev38@gmail.com,Pawan Dev,Male,ICSE,90.6,Other state Board,64.2,Computer Science and Engineering,7.09,No,Yes,Yes,No,1,No,Not Placed
simran.sagar08@gmail.com,Simran,Female,CBSE,97.2,CBSE,96.4,Computer Science and Engineering,8.26,Yes,Yes,Yes,Yes,3,Yes,Not Placed
aparna_banerjee47@gmail.com,Aparna Banerjee,Female,WBBSE,89.2,WBCHSE,89.7,Computer Science and Design,8.33,Yes,No,Yes,No,2,No,Not Placed
naira_rao84@gmail.com,Naira Rao,Female,State Board,97.6,Other state Board,87.5,Electrical and Electronics Engineering,9.17,Yes,Yes,No,No,1,No,Not Placed
nikhil_kumar35@gmail.com,Nikhil Kumar,Male,CBSE,84.2,Other state Board,88,Computer Science and Design,8.11,Yes,Yes,No,Yes,4,Yes,Placed
rina_bera51@gmail.com,Rina Bera,Female,CBSE,82.8,CBSE,61.9,Computer Science in AIML,8.57,Yes,No,No,Yes,2,Yes,Placed
radha_yadav68@gmail.com,Radha Yadav,Female,CBSE,72.6,Other state Board,62.6,Electronics and Communication Engineering,8.04,No,No,No,Yes,5,Yes,Not Placed
ananya_ghosh95@gmail.com,Ananya Ghosh,Female,State Board,91,ISE,91.8,Chemical Engineering,7.39,Yes,Yes,No,No,1,Yes,Not Placed
mandira_kar78@gmail.com,Mandira Kar,Female,CBSE,82.8,ISE,85,Computer Science in Data Science,7.51,No,No,Yes,Yes,4,No,Not Placed
dipankar_ghosh62@gmail.com,Dipankar Ghosh,Male,State Board,75.4,ISE,83.1,Computer Science in Data Science,7.77,No,Yes,No,Yes,4,Yes,Placed
vikas_kumar81@gmail.com,Vikas Kumar,Male,ICSE,90.8,ISE,74.7,Electronics and Communication Engineering,7.32,Yes,Yes,No,No,4,No,Not Placed
mukesh_sharma85@gmail.com,Mukesh Sharma,Male,State Board,93,Other state Board,66.4,Mechanical Engineering,7.4,No,Yes,No,Yes,4,No,Not Placed
khusi_srivastava13@gmail.com,Khusi Srivastava,Female,ICSE,78.3,ISE,92.5,Computer Science and Engineering,8.01,Yes,Yes,No,No,2,No,Not Placed
piyali_mitra89@gmail.com,Piyali Mitra,Female,ICSE,74.1,CBSE,80.1,Electronics and Communication Engineering,7.12,Yes,No,No,Yes,4,Yes,Placed
anand_pandey50@gmail.com,Anand Pandey,Male,State Board,78.4,ISE,81.6,Computer Science and Engineering,8.77,Yes,No,No,Yes,1,Yes,Placed
urmi_srivastava15@gmail.com,Urmi Srivastava,Female,State Board,70.5,WBCHSE,63.9,Electronics and Communication Engineering,7.54,Yes,Yes,No,Yes,5,Yes,Placed
abhijit_chakrabarti23@gmail.com,Abhijit Chakrabarti,Male,State Board,86.7,WBCHSE,71.4,Electronics and Communication Engineering,8.82,Yes,Yes,No,Yes,1,Yes,Placed
rajiv_chakrabarti53@gmail.com,Rajiv Chakrabarti,Male,CBSE,95,CBSE,93.2,Computer Science in AIML,7.21,No,No,No,Yes,4,Yes,Placed
vikram_banerjee32@gmail.com,Vikram Banerjee,Male,WBBSE,84.5,Other state Board,67,Electrical and Electronics Engineering,7.2,Yes,Yes,Yes,No,5,No,Not Placed
ayush_mahto90@gmail.com,Ayush Mahto,Male,ICSE,76.8,ISE,82,Computer Science and Engineering,7.79,Yes,No,No,Yes,4,Yes,Placed
osasish143@gmail.com,Asish Bauri,Male,ICSE,90.8,CBSE,92,Computer Science and Engineering,9.94,Yes,No,Yes,Yes,4,No,Placed
smita_kapoor11@gmail.com,Smita Kapoor,Female,WBBSE,73.1,CBSE,66.3,Computer Science and Engineering,8.83,Yes,No,No,Yes,2,Yes,Placed
smita_gupta88@gmail.com,Smita Gupta,Female,CBSE,93.2,CBSE,89,Civil Engineering,8.13,Yes,Yes,No,Yes,5,Yes,Placed
payal_iyer92@gmail.com,Payal Iyer,Female,State Board,81.8,ISE,74.5,Computer Science and Engineering,9.39,No,No,No,Yes,1,Yes,Placed
ipshita_kar72@gmail.com,Ipshita Kar,Female,WBBSE,86.5,WBCHSE,93.4,Computer Science and Design,8.8,No,No,Yes,Yes,5,Yes,Not Placed
anupam_biswas61@gmail.com,Anupam Biswas,Male,CBSE,85.5,Other state Board,62.3,Electrical and Electronics Engineering,7.99,No,No,Yes,Yes,5,Yes,Not Placed
khusi_chakraborty23@gmail.com,Khusi Chakraborty,Female,WBBSE,86.6,Other state Board,71.3,Information Technology,7.65,Yes,No,No,Yes,3,Yes,Placed
bharat_pathak45@gmail.com,Bharat Pathak,Male,ICSE,99.2,CBSE,73.4,Information Technology,8.3,Yes,Yes,No,Yes,5,No,Not Placed
kunal_chakraborty15@gmail.com,Kunal Chakraborty,Male,ICSE,85.1,WBCHSE,87.3,Electronics and Communication Engineering,7.9,Yes,No,Yes,Yes,5,No,Not Placed
dev_bera78@gmail.com,Dev Bera,Male,WBBSE,98.9,WBCHSE,78.6,Computer Science and Engineering,9.55,No,No,No,Yes,3,Yes,Not Placed
8348365251.puru@gmail.com,Purnima Rai,Female,ICSE,95,ISC,93,Mechanical Engineering,8.2,Yes,No,Yes,Yes,3,Yes,Placed
ananya_chatterjee99@gmail.com,Ananya Chatterjee,Female,ICSE,84.3,CBSE,90,Computer Science in Data Science,7,No,Yes,No,Yes,4,Yes,Placed
anjali_srivastava96@gmail.com,Anjali Srivastava,Female,ICSE,90.3,ISE,83.9,Chemical Engineering,9.36,Yes,Yes,No,Yes,1,Yes,Placed
tanushree_chakraborty89@gmail.com,Tanushree Chakraborty,Female,State Board,87.3,Other state Board,60.3,Mechanical Engineering,7.17,No,No,No,Yes,2,Yes,Placed
saurabh_das26@gmail.com,Saurabh Das,Male,ICSE,74.6,Other state Board,88,Computer Science in Data Science,9.08,Yes,No,No,Yes,1,Yes,Placed
nayanika_shukla32@gmail.com,Nayanika Shukla,Female,WBBSE,82.4,Other state Board,92.5,Mechanical Engineering,9.32,Yes,Yes,No,Yes,4,Yes,Placed
jyoti_chauhan47@gmail.com,Jyoti Chauhan,Female,ICSE,85,CBSE,87.7,Computer Science and Engineering,8.2,Yes,Yes,No,Yes,5,Yes,Placed
nisha_pal33@gmail.com,Nisha Pal,Female,CBSE,80.2,WBCHSE,92.4,Mechanical Engineering,8.94,Yes,No,No,Yes,5,Yes,Placed
dev_bhowmick65@gmail.com,Dev Bhowmick,Male,CBSE,84,ISE,83.9,Information Technology,8.97,Yes,Yes,No,Yes,5,Yes,Placed
bharat_verma79@gmail.com,Bharat Verma,Male,CBSE,75.9,Other state Board,85.6,Mechanical Engineering,9.59,No,Yes,No,Yes,2,Yes,Placed
anjali_das43@gmail.com,Anjali Das,Female,ICSE,96,ISE,94,Information Technology,9.25,Yes,No,No,Yes,1,Yes,Placed
soumikgooo7@gmail.com,Soumik Goswami,Male,CBSE,89.3,CBSE,81.4,Information Technology,9.2,No,Yes,Yes,Yes,2,Yes,Placed
amit_mahto77@gmail.com,Amit Mahto,Male,CBSE,99,Other state Board,84,Chemical Engineering,7.77,No,Yes,No,Yes,5,Yes,Placed
rakesh_jha37@gmail.com,Rakesh Jha,Male,CBSE,85.2,CBSE,90.1,Electrical and Electronics Engineering,7,No,Yes,No,Yes,4,Yes,Placed
its.amitb77@gmail.com,Amit Banerjee,Male,WBBSE,90,WBCHSE,89,Computer Science and Engineering,9.6,Yes,Yes,Yes,Yes,2,Yes,Placed
khusi_bera5@gmail.com,Khusi Bera,Female,WBBSE,74,WBCHSE,81.4,Electrical Engineering,7.14,No,Yes,Yes,No,5,Yes,Not Placed
mandira_srivastava55@gmail.com,Mandira Srivastava,Female,CBSE,81.2,CBSE,71.9,Information Technology,7.17,No,No,No,Yes,5,Yes,Placed
rajesh_thakur98@gmail.com,Rajesh Thakur,Male,CBSE,80.3,Other state Board,87.7,Electronics and Communication Engineering,9.09,Yes,No,No,Yes,5,Yes,Placed
kaushik_chatterjee32@gmail.com,Kaushik Chatterjee,Male,ICSE,97.6,CBSE,85.1,Civil Engineering,7.11,Yes,No,Yes,No,2,Yes,Not Placed
shivaninadgire@gmail.com,Nadgire Shivani,Female,State Board,87.2,MSBTE,82.4,Electronic Engineering,7.8,No,Yes,No,No,2,Yes,Not Placed
abhijit_sarkar27@gmail.com,Abhijit Sarkar,Male,ICSE,89.3,WBCHSE,90.7,Information Technology,9.49,Yes,No,Yes,Yes,5,No,Not Placed
suvankar_ghosh46@gmail.com,Suvankar Ghosh,Male,State Board,86.7,CBSE,72,Computer Science and Engineering,7.27,Yes,Yes,No,Yes,4,Yes,Placed
kavya_sengupta20@gmail.com,Kavya Sengupta,Female,CBSE,89,ISE,93.8,Information Technology,8.33,Yes,Yes,Yes,Yes,3,Yes,Not Placed
rohan_pandey58@gmail.com,Rohan Pandey,Male,State Board,85.2,CBSE,88.2,Computer Science and Engineering,8.02,Yes,No,No,Yes,5,Yes,Placed
sanjana_sen32@gmail.com,Sanjana Sen,Female,ICSE,88,WBCHSE,64.6,Electronics and Communication Engineering,9.37,Yes,No,Yes,No,2,Yes,Not Placed
urmi_biswas99@gmail.com,Urmi Biswas,Female,WBBSE,73,WBCHSE,75.9,Electronics and Communication Engineering,7.1,No,Yes,No,Yes,3,Yes,Placed
trisha_sharma9@gmail.com,Trisha Sharma,Female,State Board,96,ISE,85.6,Electronics and Communication Engineering,7.19,Yes,No,Yes,Yes,3,No,Not Placed
poulami_chakraborty52@gmail.com,Poulami Chakraborty,Female,WBBSE,78.4,WBCHSE,66.8,Computer Science and Engineering,8.03,No,No,No,No,2,No,Not Placed
ayesha_kar40@gmail.com,Ayesha Kar,Female,CBSE,71.7,CBSE,74.4,Mechanical Engineering,8.43,No,No,No,Yes,1,No,Not Placed
nisha_bhowmick6@gmail.com,Nisha Bhowmick,Female,CBSE,93,ISE,62.5,Electrical Engineering,9.01,Yes,No,No,Yes,2,Yes,Placed
ayush_kumar_rai64@gmail.com,Ayush Kumar Rai,Male,CBSE,72.8,Other state Board,94.7,Electrical Engineering,8.09,No,Yes,No,Yes,3,Yes,Placed
manoj_mitra16@gmail.com,Manoj Mitra,Male,State Board,96.8,Other state Board,65.8,Electrical Engineering,7.58,No,Yes,No,No,2,No,Not Placed
khusi_srivastava38@gmail.com,Khusi Srivastava,Female,ICSE,93.2,CBSE,82,Computer Science in AIML,8.4,Yes,Yes,Yes,No,1,No,Not Placed
urmi_sarkar87@gmail.com,Urmi Sarkar,Female,ICSE,84.7,CBSE,67.1,Electronics and Communication Engineering,8.62,Yes,No,No,No,2,No,Not Placed
indira_kumari47@gmail.com,Indira Kumari,Female,WBBSE,70.1,Other state Board,82.2,Computer Science in Data Science,8.11,No,Yes,Yes,No,3,Yes,Not Placed
dipankar_mahato14@gmail.com,Dipankar Mahato,Male,CBSE,92.8,Other state Board,68.2,Electronics and Communication Engineering,8.24,Yes,Yes,No,Yes,3,Yes,Placed
niloy_dutta68@gmail.com,Niloy Dutta,Male,ICSE,97.2,CBSE,78.6,Electrical and Electronics Engineering,8.69,Yes,No,Yes,No,1,No,Not Placed
joy_banerjee17@gmail.com,Joy Banerjee,Male,ICSE,99.5,CBSE,77.5,Electronics and Communication Engineering,7.07,Yes,Yes,Yes,Yes,2,No,Not Placed
ishika_kapoor91@gmail.com,Ishika Kapoor,Female,ICSE,99.3,ISE,73.8,Computer Science in AIML,7.56,No,Yes,No,Yes,3,Yes,Placed
anand_kumar55@gmail.com,Anand Kumar,Male,State Board,81.7,ISE,84.4,Computer Science and Engineering,7.75,Yes,Yes,Yes,Yes,4,No,Not Placed
sanjana_kumari17@gmail.com,Sanjana Kumari,Female,State Board,99.5,ISE,83.2,Civil Engineering,7.68,No,No,Yes,Yes,5,No,Not Placed
madhuri_srivastava5@gmail.com,Madhuri Srivastava,Female,ICSE,77.1,WBCHSE,66.9,Information Technology,7.16,No,Yes,No,No,5,Yes,Not Placed
dheeraj_mandal25@gmail.com,Dheeraj Mandal,Male,State Board,80.8,CBSE,85.3,Mechanical Engineering,8.94,No,No,Yes,Yes,1,Yes,Not Placed
payal_shukla62@gmail.com,Payal Shukla,Female,CBSE,88.5,WBCHSE,81.8,Civil Engineering,9.21,Yes,Yes,Yes,No,5,Yes,Not Placed
rakesh_das12@gmail.com,Rakesh Das,Male,State Board,90.8,CBSE,62.2,Computer Science and Engineering,7.67,Yes,Yes,No,Yes,4,No,Not Placed
diya_patel47@gmail.com,Diya Patel,Female,State Board,83.1,ISE,74.5,Computer Science and Engineering,9.39,Yes,Yes,No,Yes,2,Yes,Placed
naira_chauhan54@gmail.com,Naira Chauhan,Female,CBSE,90,ISE,86.4,Computer Science and Engineering,7.94,Yes,No,No,Yes,3,Yes,Placed
indira_pandey90@gmail.com,Indira Pandey,Female,CBSE,71.5,CBSE,70.3,Computer Science and Engineering,8.31,No,No,No,Yes,2,Yes,Placed
amit_bera15@gmail.com,Amit Bera,Male,WBBSE,95.6,ISE,68.7,Information Technology,9.26,Yes,No,No,Yes,2,Yes,Placed
chandan_verma70@gmail.com,Chandan Verma,Male,ICSE,94.7,CBSE,67.2,Information Technology,9.47,Yes,No,No,Yes,2,Yes,Not Placed
indrajit_bhattacharya59@gmail.com,Indrajit Bhattacharya,Male,CBSE,80.5,WBCHSE,83.1,Computer Science and Engineering,7.41,Yes,No,No,Yes,4,No,Not Placed
payal_rao14@gmail.com,Payal Rao,Female,ICSE,80.8,ISE,73.5,Computer Science in AIML,8.16,Yes,Yes,Yes,Yes,3,Yes,Not Placed
swastikbose98@gmail.com,Swastik Bose,Male,WBBSE,92.5,WBCHSE,93,Electronics and Communication and Engineeing,8.25,Yes,No,No,Yes,3,Yes,Not Placed
dheeraj_kumar39@gmail.com,Dheeraj Kumar,Male,State Board,90.1,CBSE,92.3,Electronics and Communication Engineering,7.99,Yes,No,No,Yes,2,Yes,Placed
samaira_rao81@gmail.com,Samaira Rao,Female,WBBSE,86.6,WBCHSE,76,Information Technology,8.17,Yes,No,No,Yes,5,Yes,Placed
alok_das8@gmail.com,Alok Das,Male,CBSE,83.2,CBSE,69.5,Chemical Engineering,7.12,No,Yes,No,No,5,No,Not Placed
shadwrsi9074@gmail.com,Shad Warsi,Male,State Board,57.7,Other state Board,56.7,Computer Science and Engineering,8.26,No,Yes,No,Yes,3,Yes,Not Placed
